Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TMPV.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2023-01-02,3835.94,809.38,4411.58,2955.81,939.11,3354.88,1549.95,645.36,96.36,798.62,1042.27,179.18,830.22,3118.17,60.3,1702.26,918.43,783.68,564.94,477.63,2421.49,880.65,2039.3,1397.7,282.41,,763.99,363.89,2030.89,1230.78,8158.76,445.57,945.48,150.98,125.99,139.55,1175.89,1230.87,579.0,259.25,962.1,743.43,110.62,2932.79,920.39,2541.47,,1338.1,6901.09,183.38
2023-01-03,3825.7,807.56,4447.78,2937.38,959.76,3380.93,1560.43,650.53,96.46,802.64,1047.09,178.67,830.87,3103.3,58.95,1688.25,920.11,788.8,590.0,470.62,2406.02,879.57,2037.51,1396.37,280.93,,756.7,365.45,2030.4,1217.58,8138.8,444.53,953.49,150.62,125.24,139.9,1167.28,1259.01,579.19,255.25,973.78,748.16,109.88,2977.67,933.42,2588.87,,1343.34,6877.15,185.25
2023-01-04,3821.81,797.27,4390.73,2926.32,954.92,3335.07,1545.31,647.06,94.92,796.95,1038.33,173.12,833.84,3105.04,56.35,1661.95,915.91,774.7,592.97,452.57,2400.39,877.38,1999.72,1370.92,277.45,,725.56,363.03,2012.52,1204.81,8177.69,443.13,943.46,149.72,122.47,136.95,1149.71,1249.73,572.38,251.22,968.95,743.38,107.37,2980.63,930.23,2572.97,,1303.46,6888.7,181.82
2023-01-05,3824.55,806.72,4386.52,2914.2,947.04,3399.18,1466.44,600.68,96.07,792.33,1059.2,173.92,842.47,3146.03,56.2,1669.82,922.54,769.72,603.72,456.69,2445.44,857.91,2034.11,1352.95,282.92,,739.75,362.94,2028.85,1220.84,8214.88,438.01,955.84,152.68,122.68,135.49,1147.66,1258.27,572.28,249.62,980.63,744.94,108.12,2977.44,922.35,2537.86,,1276.04,6890.32,180.51
2023-01-06,3819.01,793.44,4345.32,2889.03,937.42,3418.99,1428.0,588.9,95.11,781.44,1047.52,170.81,837.42,3139.18,55.25,1652.41,912.55,767.17,605.9,453.7,2438.58,849.08,2016.59,1328.46,284.28,,717.72,356.26,2028.07,1232.78,8139.09,431.39,961.12,151.88,123.39,135.04,1158.09,1259.65,568.08,244.85,973.39,742.5,107.28,2887.92,899.1,2514.09,,1244.39,6865.94,178.22
2023-01-09,3850.02,803.82,4365.38,2894.6,956.22,3398.81,1411.68,590.18,96.12,804.41,1058.33,171.37,849.62,3150.72,56.0,1645.53,943.17,768.67,602.73,461.64,2483.63,852.25,2020.79,1361.43,286.82,,731.52,361.27,2062.24,1277.07,8133.22,449.11,970.81,153.13,124.06,135.69,1185.43,1296.68,574.74,249.37,981.26,747.97,109.04,2985.4,925.63,2461.14,,1216.07,6917.71,182.8
2023-01-10,3641.9,783.89,4423.76,2871.52,949.63,3355.11,1410.98,581.39,95.31,778.34,1049.81,172.81,840.74,3058.97,54.7,1623.31,939.99,754.62,594.56,468.31,2502.37,840.54,2040.7,1347.95,282.88,,734.33,358.01,2047.61,1281.51,8051.81,449.65,967.83,150.93,125.07,137.44,1167.9,1292.96,562.87,252.27,976.43,750.21,110.25,2955.23,914.14,2444.85,,1219.96,6805.07,183.38
2023-01-11,3630.82,783.94,4318.73,2852.17,947.24,3321.18,1397.4,580.57,96.31,751.54,1019.54,170.13,835.49,3029.71,54.35,1607.63,931.99,765.49,594.21,481.45,2454.48,845.37,2103.79,1349.32,281.52,,743.2,359.27,2065.78,1279.27,8043.37,446.42,954.99,149.22,122.93,137.54,1153.18,1281.74,564.34,252.38,992.02,740.51,110.25,2993.27,917.51,2414.34,,1207.05,6905.03,183.75
2023-01-12,3642.2,780.49,4317.89,2828.45,933.08,3351.45,1385.52,580.83,95.55,743.05,1032.73,170.53,845.04,2996.88,53.75,1614.85,946.88,769.58,592.77,476.26,2451.45,839.86,2101.5,1357.9,279.87,,752.31,354.81,2099.22,1286.38,8125.65,450.85,960.54,149.13,122.39,138.54,1128.28,1305.96,562.64,248.25,996.7,735.58,109.55,2998.35,913.14,2423.45,,1205.85,7034.24,184.06
2023-01-13,3716.05,782.17,4293.92,2821.86,931.68,3384.31,1388.86,588.65,96.07,750.32,1039.15,171.49,846.96,3053.66,53.25,1627.34,952.31,770.18,598.82,479.05,2483.58,852.35,2113.83,1379.04,278.93,,757.29,354.97,2093.05,1294.42,8207.4,450.95,956.25,150.8,123.06,138.87,1126.45,1303.23,567.56,242.68,995.49,734.26,111.73,3034.5,914.6,2394.33,,1201.76,7128.2,183.78
2023-01-16,3614.84,774.69,4253.42,2828.55,910.74,3363.51,1381.63,591.9,98.14,745.26,1031.22,170.41,848.06,3031.45,52.7,1620.85,966.36,762.8,598.52,473.71,2458.12,844.35,2096.61,1399.08,280.16,,748.12,355.87,2077.3,1282.19,8136.23,451.49,953.89,149.13,123.6,139.94,1115.72,1291.27,570.3,240.69,999.21,728.75,111.27,3066.23,943.13,2383.09,,1193.79,7163.55,185.97
2023-01-17,3634.36,772.42,4281.35,2852.65,915.28,3385.85,1370.64,589.35,98.91,751.69,1040.47,169.9,853.1,3070.95,50.15,1632.85,981.69,774.15,603.72,478.46,2524.8,844.25,2077.74,1411.92,281.9,,746.45,358.43,2151.07,1287.31,8232.59,451.64,964.05,150.71,123.81,141.72,1131.56,1288.84,560.79,240.5,996.55,731.48,110.71,3107.01,953.71,2385.17,,1189.5,7254.8,184.92
2023-01-18,3591.77,774.14,4298.13,2856.87,921.56,3388.62,1365.05,590.7,98.72,762.34,1034.92,172.89,855.57,3068.68,51.0,1648.38,985.31,787.82,595.4,493.22,2542.46,848.49,2080.73,1417.33,283.94,,755.96,358.72,2202.98,1288.57,8246.87,449.95,958.13,152.28,124.98,142.34,1129.69,1300.95,559.37,242.83,1003.69,731.92,113.59,3117.68,955.81,2401.16,,1219.11,7162.17,188.11
2023-01-19,3458.81,763.86,4276.69,2780.15,926.25,3356.75,1352.92,592.06,98.86,757.88,1036.33,178.55,849.27,3058.15,51.1,1648.78,990.89,791.09,599.56,489.25,2507.96,845.22,2119.22,1411.37,281.82,,748.96,352.38,2209.39,1286.04,8254.24,444.63,951.26,151.61,127.08,143.25,1128.48,1313.3,557.86,244.87,1004.13,720.22,114.61,3102.14,960.32,2362.48,,1194.69,7092.25,188.21
2023-01-20,3451.42,762.28,4244.11,2704.15,928.09,3353.75,1331.01,577.08,97.85,750.46,1025.24,180.98,852.88,3042.51,51.45,1627.59,987.68,799.2,585.0,480.47,2412.36,849.32,2096.31,1399.12,283.9,,730.63,351.5,2186.89,1281.36,8194.19,436.41,928.01,151.61,126.95,144.87,1115.06,1286.5,560.08,241.56,994.28,720.17,114.05,3092.94,954.12,2348.86,,1178.73,7057.64,188.09
2023-01-23,3431.64,756.97,4293.82,2700.9,930.24,3401.44,1330.56,577.34,97.61,758.56,1034.09,183.45,850.38,3093.55,51.0,1603.94,999.62,805.04,583.66,484.64,2457.46,850.64,2118.22,1419.71,286.57,,723.24,355.66,2170.9,1294.71,8172.15,441.94,936.08,149.94,127.58,146.07,1109.42,1285.81,567.89,242.94,1012.57,724.07,113.17,3140.58,971.26,2342.33,,1173.7,6735.69,189.89
2023-01-24,3437.28,749.24,4263.67,2726.26,907.8,3460.53,1330.51,576.56,96.75,761.46,1033.7,181.46,833.69,3115.95,52.1,1576.31,1014.47,815.82,584.01,475.28,2461.34,849.71,2098.8,1423.29,287.59,,711.52,350.97,2145.63,1290.28,8445.66,432.63,932.39,149.22,127.41,143.38,1102.87,1263.82,562.12,239.29,1004.27,722.56,111.69,3160.26,976.09,2348.32,,1199.12,6696.31,190.17
2023-01-25,3384.31,701.95,4183.79,2691.73,889.99,3489.53,1312.19,570.73,95.31,762.29,1007.52,180.3,823.54,3103.69,47.75,1567.02,1001.0,793.28,579.55,479.64,2482.02,834.64,2105.69,1415.13,287.84,,714.08,348.89,2113.75,1278.2,8528.47,436.16,929.72,149.09,127.66,142.37,1087.63,1248.14,537.86,237.2,1003.64,721.73,112.24,3154.24,958.36,2334.3,,1208.44,6593.45,187.81
2023-01-27,2757.67,587.57,4203.4,2640.95,871.44,3695.44,1312.04,567.27,90.64,760.33,1019.2,177.31,845.7,3061.1,46.95,1551.98,994.63,777.47,582.17,469.74,2472.37,797.46,2090.52,1393.25,293.57,,710.83,341.57,2099.32,1286.67,8483.23,452.54,928.79,149.45,123.64,142.27,1066.99,1240.99,510.67,234.71,1006.88,717.05,111.92,3137.04,939.17,2309.19,,1172.75,6603.78,186.17
2023-01-30,2888.89,587.62,4197.01,2683.19,869.55,3605.7,1341.64,592.98,85.5,756.11,1006.7,180.06,848.6,3082.05,47.4,1571.79,1011.7,776.68,582.42,463.21,2430.72,803.6,2080.23,1411.28,292.55,,691.46,344.19,2053.68,1297.78,8560.42,437.76,926.35,151.74,121.34,137.47,1077.22,1224.32,509.01,235.24,1014.89,717.44,110.16,3157.82,944.64,2313.45,,1176.79,6773.01,188.13
2023-01-31,2969.83,603.03,4215.04,2644.06,869.3,3584.2,1340.24,579.64,91.27,756.21,990.69,179.26,847.69,3151.49,49.75,1563.53,1000.51,771.55,573.41,459.34,2438.86,811.8,2120.67,1406.64,298.96,,706.0,345.14,2064.86,1343.74,8636.44,439.7,919.19,153.81,121.34,140.59,1074.52,1210.52,523.48,243.32,998.29,711.44,111.04,3088.9,925.4,2354.66,,1192.99,6967.57,186.54
2023-02-01,2132.42,487.37,4221.72,2661.42,854.98,3577.68,1266.22,572.83,87.42,755.03,1004.41,175.91,853.05,3189.88,48.15,1561.17,1009.34,783.12,510.85,458.8,2436.5,827.46,2081.38,1422.56,306.63,,719.06,347.87,2085.42,1317.72,8513.67,439.2,922.68,152.77,120.8,140.52,1068.16,1101.19,498.75,245.36,979.37,722.46,113.22,3134.56,933.38,2323.7,,1212.33,7022.49,188.2
2023-02-02,1563.11,455.18,4190.87,2624.46,866.16,3558.34,1269.81,563.03,89.49,763.52,997.84,173.52,856.7,3107.02,47.5,1571.94,1024.94,771.48,488.07,456.4,2493.85,837.17,2121.27,1452.5,321.23,,716.79,351.27,2084.79,1318.06,8612.02,438.95,916.14,149.99,120.13,138.02,1062.24,1099.3,499.46,239.14,972.33,718.9,111.27,3182.43,926.91,2286.26,,1206.95,7048.3,191.5
