Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TMPV.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2023-01-02,3868.69,813.76,4473.33,2995.24,942.5,3398.1,1557.44,650.9,97.28,801.27,1053.02,181.14,836.6,3138.55,60.7,1718.68,921.12,788.99,566.03,481.5,2441.99,885.09,2046.54,1399.99,283.39,,772.07,365.48,2038.81,1238.72,8207.98,449.21,952.89,151.47,126.28,139.84,1177.3,1238.41,585.62,260.03,966.35,751.92,111.04,2937.65,931.65,2591.25,,1354.3,6922.73,183.78
2023-01-03,3847.57,813.42,4465.66,2968.13,963.05,3398.1,1567.42,655.82,96.99,803.82,1052.0,179.98,834.74,3128.94,59.55,1713.08,924.04,790.56,594.36,479.0,2424.9,884.06,2046.49,1405.64,282.84,,765.17,366.17,2038.03,1232.88,8157.49,449.11,955.12,152.06,126.11,140.29,1174.57,1265.56,583.16,260.41,977.35,748.89,111.78,2985.44,934.34,2594.22,,1345.93,6921.79,185.57
2023-01-04,3869.64,809.09,4470.76,2958.48,967.44,3381.72,1564.77,653.66,96.99,805.44,1052.97,178.98,835.12,3131.69,58.7,1699.02,920.68,791.88,604.17,468.22,2421.49,885.97,2053.08,1394.95,282.11,,756.45,365.85,2042.55,1223.91,8288.61,445.92,956.91,151.43,124.65,139.77,1169.11,1272.81,581.6,255.86,989.99,748.5,110.43,2992.05,938.48,2601.4,,1349.47,6944.41,185.46
2023-01-05,3837.14,808.69,4412.72,2955.18,959.36,3409.84,1545.46,639.08,96.27,809.91,1063.92,174.52,843.71,3154.92,57.1,1679.21,927.57,778.55,606.64,458.41,2453.25,881.18,2038.01,1381.1,283.3,,741.87,365.44,2040.37,1223.13,8228.37,447.31,961.55,153.09,123.1,137.5,1157.86,1265.11,578.43,253.42,986.13,761.67,108.53,3001.0,934.47,2595.21,,1308.04,6924.94,182.98
2023-01-06,3862.95,811.45,4431.34,2932.77,948.44,3424.39,1471.13,604.61,96.6,797.39,1063.83,175.32,846.74,3166.46,56.4,1671.14,925.89,774.25,614.76,464.83,2472.13,857.72,2044.54,1352.76,286.4,,743.39,364.08,2062.24,1242.57,8237.06,438.4,963.11,154.71,124.02,136.46,1163.13,1277.82,574.51,250.73,986.03,751.77,109.32,2968.85,922.35,2559.95,,1285.66,6912.84,181.4
2023-01-09,3874.68,807.36,4409.4,2927.1,957.46,3444.1,1448.52,598.51,97.76,806.47,1067.57,173.56,850.79,3162.84,57.25,1671.39,946.3,775.43,612.24,464.83,2488.74,857.52,2034.51,1365.92,289.58,,735.76,362.09,2067.68,1280.53,8201.14,450.95,974.61,153.67,125.78,137.54,1187.8,1304.17,575.97,250.53,987.53,749.77,109.55,2991.74,930.87,2506.01,,1251.21,6946.38,183.36
2023-01-10,3856.76,807.76,4445.9,2895.43,961.45,3413.12,1426.65,592.31,96.22,810.99,1061.05,173.24,852.43,3153.86,56.15,1656.45,947.72,769.87,607.29,471.21,2511.36,857.18,2068.7,1360.93,287.12,,740.49,362.09,2072.15,1292.72,8165.26,460.45,975.8,153.4,125.86,137.86,1189.63,1303.92,575.97,252.97,988.16,753.67,111.08,2965.66,924.54,2475.06,,1231.42,6932.56,183.78
2023-01-11,3659.48,790.48,4439.41,2885.63,953.22,3369.9,1420.51,585.81,96.84,765.39,1054.92,174.2,846.88,3065.68,56.15,1631.03,953.9,768.91,599.86,483.91,2506.16,849.81,2115.23,1370.19,284.32,,747.39,359.72,2080.02,1286.48,8092.1,457.32,970.77,151.7,125.61,138.25,1167.72,1299.46,566.99,254.15,996.89,753.62,111.64,3011.97,927.18,2465.05,,1231.27,6915.89,184.76
2023-01-12,3673.96,786.89,4340.32,2851.63,947.19,3360.56,1412.62,587.37,96.6,755.22,1035.6,173.0,847.27,3044.87,55.0,1637.08,949.4,771.74,600.1,486.01,2463.33,848.35,2124.26,1361.93,283.05,,753.25,360.29,2103.98,1293.3,8133.22,451.94,964.25,150.26,124.15,138.8,1156.08,1310.23,565.48,253.85,999.21,744.94,110.62,3012.42,924.03,2451.58,,1238.75,7047.61,185.64
2023-01-13,3730.93,787.68,4328.04,2837.23,934.97,3396.09,1397.55,589.35,96.22,751.94,1041.93,171.97,851.13,3086.45,54.5,1643.42,957.79,774.63,601.89,480.52,2498.02,853.76,2117.27,1393.48,281.9,,760.69,356.36,2104.18,1303.05,8252.69,454.73,964.25,151.11,123.52,139.74,1128.87,1316.18,570.2,248.32,998.77,738.85,112.8,3038.5,919.93,2433.65,,1214.67,7137.15,185.04
