Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TMPV.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2023-01-02,3817.31,803.48,4403.31,2930.35,929.34,3304.66,1526.04,638.57,96.03,790.86,1035.36,178.71,825.12,3093.5,59.8,1691.15,911.4,778.79,555.97,465.96,2402.23,872.4,2003.71,1379.41,279.7,,754.97,362.18,2016.89,1211.04,8094.97,433.43,942.56,149.54,123.31,138.22,1163.24,1212.95,578.05,254.79,952.64,739.33,105.52,2909.19,916.47,2532.61,,1327.98,6834.37,182.19
2023-01-03,3785.81,804.95,4382.61,2934.23,940.11,3344.13,1541.51,643.02,95.93,793.71,1037.84,177.79,826.51,3096.1,57.3,1683.68,913.17,780.55,564.15,469.24,2399.35,875.09,2018.59,1389.54,280.21,,752.46,363.08,2009.99,1215.04,8062.49,440.49,941.34,149.9,123.94,139.09,1163.06,1217.32,576.92,252.59,953.42,740.31,109.23,2918.27,919.06,2530.88,,1326.04,6844.16,182.75
2023-01-04,3798.39,793.83,4382.51,2911.48,952.48,3326.29,1537.87,644.99,94.63,791.45,1035.46,172.41,827.53,3078.82,56.0,1657.23,911.4,773.24,589.41,451.1,2391.82,873.18,1987.04,1367.53,276.6,,723.83,361.68,2000.32,1199.74,8069.19,434.87,942.5,148.01,121.43,136.59,1147.63,1243.77,571.24,249.23,965.72,740.6,107.0,2955.05,922.76,2561.14,,1296.13,6867.56,181.3
2023-01-05,3751.75,784.48,4314.18,2905.52,935.77,3340.23,1452.31,593.3,94.49,789.04,1038.81,171.57,831.49,3092.77,55.6,1648.43,912.82,764.77,592.38,449.78,2401.71,850.93,2011.6,1347.49,278.47,,725.81,360.12,2010.53,1199.74,8145.89,435.32,943.45,150.21,120.71,134.06,1143.07,1245.76,569.31,247.98,972.96,741.29,106.21,2951.23,915.83,2519.58,,1268.46,6829.36,179.04
2023-01-06,3791.85,790.88,4327.05,2863.42,931.83,3377.45,1420.66,585.08,94.87,777.51,1044.75,169.02,834.94,3126.09,54.95,1637.08,905.88,759.38,599.96,452.18,2437.11,839.71,1998.62,1326.62,282.62,,715.36,353.04,2013.78,1216.45,8107.01,427.3,955.87,151.47,122.51,134.68,1149.6,1257.12,564.62,243.4,968.95,740.26,106.91,2877.54,898.05,2493.19,,1232.27,6835.26,177.94
2023-01-09,3806.03,796.39,4338.98,2862.45,938.86,3384.96,1406.34,586.4,95.64,786.39,1048.06,170.61,838.09,3118.51,55.75,1634.62,918.96,765.06,596.09,457.18,2432.47,841.47,2002.62,1328.18,285.21,,724.43,356.7,2041.87,1239.36,8082.83,432.28,961.67,152.28,123.77,132.54,1161.03,1261.74,567.56,245.76,975.13,742.26,108.12,2896.55,907.53,2444.45,,1209.69,6886.29,179.67
2023-01-10,3550.13,768.83,4363.7,2863.61,940.26,3344.88,1388.71,578.52,94.49,775.84,1046.06,170.77,839.81,3036.37,53.8,1605.81,933.32,753.03,593.91,464.15,2475.16,835.91,2014.85,1333.55,282.16,,724.33,356.68,2038.42,1272.59,8022.44,445.77,964.5,150.21,124.44,135.62,1162.24,1288.29,558.57,249.37,974.69,745.63,109.04,2904.6,910.86,2432.76,,1198.32,6774.44,180.72
2023-01-11,3555.22,776.65,4294.42,2846.93,940.31,3314.61,1394.75,577.59,95.69,737.9,1015.07,169.18,832.06,2990.55,54.1,1600.79,928.23,750.62,588.76,471.7,2449.61,834.2,2033.56,1342.67,281.1,,737.14,355.73,2038.32,1267.47,8009.09,443.23,953.01,148.73,122.47,136.33,1150.87,1277.82,560.13,249.47,973.05,736.8,109.46,2941.52,914.69,2408.0,,1201.37,6806.74,182.66
2023-01-12,3607.05,773.75,4283.72,2809.1,921.56,3304.28,1376.73,576.75,95.06,739.76,1015.21,169.66,831.61,2988.91,52.95,1604.73,937.47,762.24,589.01,472.87,2435.08,834.29,2086.47,1334.42,278.38,,741.62,353.39,2058.74,1276.73,8019.63,444.87,954.1,148.78,122.05,137.18,1125.26,1281.74,558.1,246.84,985.41,733.39,109.09,2981.44,909.26,2408.99,,1200.87,6907.98,182.19
2023-01-13,3637.21,773.65,4227.07,2785.58,920.56,3337.23,1372.09,578.23,93.62,738.24,1025.04,170.25,841.0,2955.11,53.05,1613.63,919.8,763.13,590.74,473.31,2429.3,837.56,2094.01,1346.34,276.94,,750.59,350.72,2057.86,1278.29,8107.98,445.22,953.38,148.73,122.18,138.41,1111.39,1296.33,561.46,239.73,984.44,731.44,109.6,2971.96,899.23,2377.29,,1182.52,7019.14,180.32
