Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TMPV.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2023-01-02,3864.7,810.07,4444.91,2995.24,929.79,3395.29,1547.45,646.47,96.51,791.5,1051.32,180.78,834.87,3116.38,60.65,1696.46,918.12,782.86,559.69,466.74,2436.17,872.4,2009.6,1388.53,280.76,,760.64,364.44,2034.24,1219.23,8121.57,439.75,948.14,150.12,123.35,139.22,1164.07,1220.89,581.6,258.35,966.35,750.84,106.12,2932.39,928.05,2582.33,,1353.9,6863.68,183.36
2023-01-03,3836.64,809.33,4424.11,2955.57,942.25,3344.13,1546.45,646.47,96.41,795.52,1041.39,179.38,830.96,3118.17,58.85,1695.58,918.03,780.55,564.64,477.09,2413.59,876.79,2025.58,1393.9,281.27,,764.83,363.33,2029.48,1230.93,8136.13,449.11,947.29,150.98,125.36,139.68,1170.94,1235.49,581.17,258.87,958.24,746.06,111.13,2924.3,923.58,2543.7,,1337.95,6912.89,183.38
2023-01-04,3833.74,807.91,4451.84,2943.93,960.95,3368.07,1559.43,649.42,96.8,803.97,1050.05,178.86,830.21,3113.49,58.4,1693.51,915.56,786.71,593.37,467.77,2414.02,877.28,2044.54,1394.95,281.56,,755.22,365.85,2032.35,1220.55,8132.25,442.98,956.04,150.84,124.61,139.77,1167.26,1258.96,578.67,254.94,976.58,748.5,110.16,2973.48,933.42,2594.02,,1341.99,6883.44,185.46
2023-01-05,3821.81,801.26,4412.72,2948.34,957.46,3349.29,1545.46,639.08,95.16,809.91,1046.21,172.85,836.1,3118.32,56.95,1670.31,920.5,777.09,594.36,454.29,2401.76,879.13,2020.54,1381.1,278.85,,731.03,362.88,2021.7,1208.51,8199.2,443.98,944.44,150.98,122.14,137.5,1151.97,1251.32,574.08,252.66,973.78,743.14,108.07,2994.62,930.87,2566.49,,1308.04,6898.14,181.96
2023-01-06,3823.75,807.02,4399.4,2919.68,944.05,3396.23,1471.13,603.63,95.93,792.78,1059.2,174.6,842.86,3148.25,56.2,1670.41,922.45,770.83,602.28,457.97,2441.94,857.72,2035.56,1348.18,283.98,,739.06,364.08,2031.62,1220.84,8213.81,438.06,957.0,153.18,122.85,135.07,1153.41,1261.54,574.46,250.57,979.47,744.89,108.53,2967.46,920.39,2535.78,,1277.14,6890.32,180.56
2023-01-09,3837.74,797.72,4381.87,2903.48,944.3,3436.12,1444.62,592.8,96.03,788.01,1052.78,171.69,841.61,3154.92,56.0,1671.39,923.29,767.94,609.27,461.89,2450.79,853.13,2020.59,1328.18,285.89,,726.0,359.1,2048.92,1240.62,8179.68,435.52,963.53,153.0,125.03,135.75,1161.92,1265.96,572.19,245.86,979.47,746.26,108.44,2903.61,909.86,2506.01,,1250.02,6922.78,180.09
2023-01-10,3853.71,804.16,4367.66,2894.6,961.45,3408.05,1426.65,590.73,96.12,810.99,1057.4,171.41,846.88,3150.19,56.0,1645.88,937.47,769.87,602.78,468.75,2483.63,854.25,2020.78,1359.18,286.7,,733.39,360.6,2072.15,1277.22,8136.13,448.96,969.72,153.13,124.44,136.2,1189.63,1296.68,575.45,250.14,980.44,747.97,109.14,2953.97,923.58,2471.39,,1221.3,6932.56,182.89
2023-01-11,3654.99,787.43,4431.04,2885.63,950.48,3365.25,1415.67,583.94,96.46,760.82,1049.81,173.24,843.93,3058.97,55.0,1623.8,944.54,754.45,594.36,472.58,2502.51,842.05,2040.7,1348.18,284.32,,739.06,358.9,2047.07,1282.09,8092.1,451.94,970.05,151.38,125.19,137.7,1165.21,1299.46,564.1,252.29,976.58,752.89,110.81,2958.56,919.43,2449.6,,1226.39,6832.31,183.36
2023-01-12,3637.51,784.18,4328.98,2850.81,946.84,3321.18,1402.69,581.63,96.55,751.0,1024.6,171.81,838.05,3042.02,54.7,1612.1,937.47,764.0,596.79,485.43,2447.71,844.59,2111.38,1359.14,282.88,,747.34,360.29,2058.74,1282.58,8073.03,447.96,954.99,149.99,123.69,138.57,1152.59,1281.74,565.48,253.71,995.83,741.19,110.34,2993.54,920.84,2426.82,,1211.34,6907.98,184.64
2023-01-13,3646.2,783.1,4323.09,2837.23,933.03,3360.56,1392.46,582.95,95.64,743.15,1035.5,170.77,847.66,2998.57,54.1,1620.8,922.36,769.27,593.81,478.22,2451.59,843.81,2097.06,1360.56,279.87,,753.84,354.81,2101.31,1291.35,8152.64,450.55,964.25,149.36,122.6,138.61,1122.25,1309.23,565.48,247.75,995.06,736.41,109.97,3006.04,915.78,2433.65,,1210.34,7055.53,184.76
2023-01-16,3714.9,784.48,4322.35,2837.23,937.97,3388.67,1395.85,590.83,96.55,752.38,1041.83,171.81,850.74,3047.38,54.0,1631.67,960.44,777.09,599.31,481.45,2487.32,856.06,2113.38,1384.86,280.29,,757.54,356.3,2086.83,1299.15,8233.22,450.95,958.94,151.56,123.69,139.51,1128.78,1309.78,570.3,243.78,995.49,733.48,112.66,3050.55,919.2,2405.03,,1203.31,7148.95,181.96
2023-01-17,3615.04,775.96,4274.76,2837.23,912.53,3369.94,1386.72,592.8,98.38,745.26,1034.34,170.41,850.59,3043.96,53.0,1614.46,970.07,764.96,601.29,472.43,2466.03,846.01,2107.14,1400.45,280.16,,747.39,354.91,2079.93,1285.46,8165.12,453.73,953.9,149.72,124.19,139.94,1122.07,1295.04,570.3,241.65,999.21,725.58,111.08,3062.5,942.72,2382.25,,1196.33,7158.78,186.64
2023-01-18,3643.0,771.68,4295.36,2859.49,919.46,3402.8,1377.53,591.22,99.1,754.15,1040.27,170.49,853.1,3062.3,50.4,1640.03,988.67,772.27,604.26,479.05,2525.23,843.57,2082.48,1416.73,283.39,,747.93,359.48,2158.75,1286.82,8226.43,453.19,964.25,150.53,124.15,141.66,1129.14,1299.31,563.58,241.7,996.55,731.44,111.32,3108.48,953.71,2395.12,,1194.39,7250.23,185.92
2023-01-19,3465.25,771.63,4298.13,2866.23,921.16,3379.28,1362.76,589.16,98.04,761.8,1035.02,172.81,855.67,3054.63,50.3,1645.92,982.82,787.67,595.5,483.61,2527.22,847.03,2076.49,1412.28,283.39,,751.82,359.59,2196.51,1284.14,8232.25,448.21,958.13,153.13,123.98,141.98,1128.87,1303.28,558.95,242.83,1001.76,731.63,112.99,3108.48,951.75,2369.86,,1219.26,7139.11,187.6
2023-01-20,3445.27,763.81,4260.69,2762.54,928.79,3363.42,1357.77,592.06,98.91,761.66,1038.42,179.26,849.22,3066.17,51.4,1648.78,990.57,791.09,602.28,488.37,2413.54,852.4,2125.96,1410.54,281.69,,748.91,354.69,2218.48,1290.43,8215.8,443.98,950.24,152.68,127.29,143.41,1129.83,1314.25,561.6,244.72,1007.5,719.73,114.47,3094.69,959.59,2367.34,,1200.97,7092.26,188.28
