Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDIGO.NS,INFY.NS,ITC.NS,JIOFIN.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,MAXHEALTH.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TMPV.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
2022-01-03,1714.09,720.04,4929.1,3295.93,693.45,2964.87,1694.73,708.35,66.33,675.65,901.2,111.29,944.92,2608.25,141.35,1623.59,1118.99,722.8,642.58,464.54,2200.62,741.77,2010.6,1704.25,177.22,,637.62,363.55,1845.33,800.54,7257.17,432.63,940.83,107.95,110.27,125.18,1093.78,1198.22,438.43,231.38,810.16,723.73,100.55,3386.36,1553.55,2491.16,,1049.69,7551.94,332.0
2022-01-04,1715.94,722.63,4903.51,3331.46,706.2,2975.77,1710.11,720.46,67.87,681.66,895.15,109.64,941.47,2595.01,138.35,1653.3,1125.15,727.04,645.2,462.65,2237.85,749.68,2038.26,1704.88,178.15,,640.82,369.16,1859.43,802.51,7359.6,426.81,950.92,113.86,113.93,128.6,1118.47,1209.31,450.25,231.79,799.42,714.87,101.11,3445.79,1557.9,2549.54,,1051.04,7480.02,333.3
2022-01-05,1712.39,737.93,4912.06,3396.47,723.88,3038.56,1795.24,752.62,66.97,684.15,899.31,110.14,932.7,2665.62,133.95,1707.09,1106.0,744.3,645.6,461.92,2251.41,764.42,1974.41,1655.95,178.39,,663.86,383.02,1870.04,809.89,7499.7,406.2,953.15,113.09,115.9,127.41,1123.7,1208.57,458.54,231.21,796.94,709.79,103.65,3424.68,1512.42,2542.78,,1065.87,7489.02,329.6
2022-01-06,1710.05,723.17,4903.37,3384.77,727.26,3092.52,1795.05,760.22,66.53,694.32,892.97,110.82,922.78,2702.6,130.0,1681.19,1084.19,732.36,639.03,465.56,2228.67,761.51,1956.84,1631.85,176.89,,644.21,376.99,1846.91,810.23,7602.67,407.59,939.37,112.15,116.25,125.76,1099.54,1194.45,457.89,225.01,791.69,701.91,102.38,3377.22,1472.86,2562.27,,1075.32,7292.49,326.02
2022-01-07,1696.07,719.55,4960.06,3444.14,727.56,3069.27,1772.13,751.49,65.32,688.75,885.95,112.47,916.73,2709.55,129.25,1756.53,1088.95,737.5,652.27,479.56,2251.73,769.47,2002.07,1628.71,176.65,,643.16,379.45,1828.1,799.76,7625.72,400.33,951.58,112.54,121.06,125.3,1108.41,1206.14,457.47,224.86,791.07,712.21,102.13,3418.07,1483.09,2539.38,,1080.15,7389.68,328.68
2022-01-10,1749.48,722.24,5002.93,3422.18,739.71,3107.81,1776.32,758.55,66.2,688.99,887.35,115.16,914.91,2701.01,130.2,1796.79,1086.89,741.59,654.88,478.97,2243.25,786.44,2051.63,1661.43,180.61,,642.44,388.16,1874.36,812.26,7837.54,397.04,942.26,112.97,122.07,124.57,1109.32,1217.73,469.02,226.23,788.93,708.15,102.89,3441.44,1493.66,2623.08,,1067.01,7416.27,320.36
2022-01-11,1840.62,747.9,4996.8,3407.98,740.16,3109.31,1776.39,752.52,66.08,687.52,887.11,113.61,909.11,2680.72,131.3,1804.65,1133.76,744.8,650.14,472.61,2240.09,786.35,2032.12,1665.78,179.52,,617.21,385.94,1882.08,811.73,7855.14,389.03,944.84,113.35,124.07,124.47,1117.3,1222.0,471.16,226.36,794.37,714.68,99.48,3473.42,1512.07,2618.98,,1113.94,7436.95,320.66
2022-01-12,1826.84,746.38,4952.7,3412.84,743.74,3112.34,1789.94,762.79,66.12,713.67,877.67,114.19,913.81,2701.4,132.25,1831.13,1140.93,740.4,665.06,483.88,2248.94,799.05,2085.48,1685.4,180.17,,628.06,389.89,1894.61,849.5,7881.08,401.27,942.22,114.68,127.15,125.15,1147.13,1237.85,475.16,230.36,797.99,712.21,100.97,3423.74,1506.24,2579.1,,1139.92,7488.19,319.37
2022-01-13,1850.05,754.84,4922.03,3328.53,737.62,3122.2,1818.85,766.11,65.8,715.23,894.95,118.06,920.15,2717.52,133.1,1814.37,1125.83,726.77,662.19,493.16,2249.92,799.98,2141.28,1702.77,181.14,,657.5,383.86,1937.03,864.4,7790.71,403.07,942.57,115.62,126.38,127.01,1153.59,1247.06,476.19,230.77,825.95,706.51,107.48,3457.45,1496.1,2585.32,,1177.4,7437.44,300.15
2022-01-14,1866.92,762.56,4912.85,3240.07,718.7,3105.73,1817.32,768.45,69.11,704.29,892.49,118.06,913.0,2705.04,133.6,1814.81,1128.32,734.93,663.28,492.04,2202.85,795.42,2161.8,1731.99,180.05,,652.58,386.22,1962.31,850.12,7797.6,394.75,927.55,115.96,124.15,126.86,1155.28,1251.92,473.39,229.45,820.47,737.76,106.81,3519.76,1512.6,2559.17,,1159.43,7490.0,295.56
2022-01-17,1874.46,761.54,4851.32,3253.79,709.69,3157.26,1833.38,770.45,67.98,712.1,881.54,117.3,909.72,2728.64,134.0,1874.81,1062.12,723.68,665.95,491.65,2226.94,794.74,2161.6,1741.1,181.67,,668.54,386.07,1985.97,869.03,7972.48,392.21,924.35,117.03,127.85,126.0,1161.3,1276.04,478.66,229.22,814.22,740.27,108.24,3565.0,1499.23,2563.9,,1152.86,7694.88,298.72
2022-01-18,1837.67,745.8,4559.01,3249.03,722.18,3076.92,1811.72,759.8,65.42,698.18,873.74,115.23,913.84,2624.99,133.05,1809.88,1029.21,727.37,660.96,481.99,2208.26,798.42,2108.69,1724.27,178.55,,650.19,387.01,1940.67,860.69,7634.55,389.18,926.56,115.66,126.31,125.27,1147.45,1254.19,471.95,222.71,808.01,707.71,105.16,3539.68,1445.57,2566.91,,1138.98,7387.68,292.55
2022-01-19,1846.01,727.47,4460.39,3159.17,726.57,3109.35,1804.11,742.9,65.36,687.77,867.45,117.45,912.17,2608.15,129.2,1765.18,1011.87,722.23,648.07,490.54,2152.71,784.36,2075.99,1676.06,178.23,,644.88,379.73,1939.42,862.86,7731.53,382.96,905.4,115.49,131.24,124.96,1147.36,1236.56,480.33,221.12,800.19,694.36,106.46,3478.41,1453.71,2555.37,,1162.12,7268.88,286.94
2022-01-20,1862.53,721.41,4587.65,3184.21,725.87,2993.5,1722.44,738.83,66.67,699.2,854.57,118.27,893.98,2622.64,125.2,1789.12,1000.09,717.74,641.55,489.18,2107.89,785.96,2088.22,1637.15,176.93,,652.39,377.13,1922.73,849.45,7751.45,383.7,895.7,115.58,128.62,131.07,1127.27,1227.25,476.23,225.87,782.53,699.97,106.21,3400.13,1450.93,2531.08,,1164.56,7299.29,284.19
2022-01-21,1825.09,707.63,4633.92,3153.83,709.54,3093.97,1630.25,723.47,64.98,679.51,840.14,113.76,875.41,2600.86,113.65,1751.11,993.79,723.73,633.64,492.38,2167.16,780.38,2080.83,1603.03,175.56,,636.85,377.36,1877.19,844.34,7899.27,372.65,907.18,114.89,126.15,131.34,1127.45,1229.18,468.13,221.72,771.8,702.97,102.95,3406.3,1387.08,2495.4,,1176.35,7193.84,279.96
2022-01-24,1712.74,686.66,4442.81,3038.55,701.67,3060.04,1567.57,680.11,61.95,674.28,864.01,112.0,849.75,2548.38,91.35,1652.03,957.16,707.11,619.96,464.88,2129.14,774.51,1988.84,1559.14,171.31,,594.36,364.84,1823.3,824.56,7766.83,364.24,894.92,113.61,127.73,130.67,1081.97,1213.67,460.17,213.59,764.26,669.01,96.75,3351.08,1317.1,2371.92,,1116.73,6996.68,265.01
2022-01-25,1738.3,695.11,4430.8,3030.8,749.07,3138.57,1549.78,683.25,64.12,695.73,877.13,115.48,857.24,2582.54,100.45,1681.93,956.14,707.77,623.12,472.03,2168.88,777.62,1963.38,1545.98,173.33,,603.3,369.57,1847.68,824.37,8297.63,367.83,898.41,115.92,127.31,133.63,1079.86,1216.65,479.26,215.83,771.13,684.78,97.62,3349.79,1306.17,2345.72,,1074.33,6940.31,260.36
2022-01-27,1683.0,693.16,4239.44,3001.76,770.63,3167.53,1532.91,670.81,64.34,691.24,898.39,115.05,828.72,2536.34,90.5,1648.46,917.04,701.54,613.94,475.33,2139.16,770.83,1859.46,1506.89,173.58,,598.47,376.46,1833.81,827.79,8507.51,373.05,879.03,115.66,127.73,131.19,1063.86,1200.45,492.58,229.6,774.99,683.04,95.79,3242.59,1258.3,2280.13,,1018.19,6942.61,252.06
2022-01-28,1690.68,694.18,4423.5,2995.89,761.52,3164.0,1516.83,673.78,65.03,699.59,902.9,115.84,821.37,2504.78,89.55,1658.18,919.34,695.98,612.9,476.5,2128.16,757.73,1853.52,1513.71,176.0,,600.34,378.27,1821.05,838.98,8247.81,367.88,878.98,120.08,130.12,128.35,1062.84,1194.4,487.46,229.92,789.55,694.6,95.46,3278.84,1227.88,2285.61,,1013.56,6951.56,255.48
2022-01-31,1711.9,700.2,4402.51,3035.76,769.84,3225.02,1565.81,686.83,65.84,712.79,915.25,114.51,837.76,2537.93,90.4,1687.98,935.46,706.65,614.88,475.23,2119.02,765.15,1853.72,1558.6,178.11,,601.2,370.09,1832.23,854.56,8292.51,365.78,885.54,121.7,133.05,131.53,1085.93,1221.85,501.28,227.25,796.37,703.7,95.54,3319.89,1287.37,2329.73,,1026.75,7055.73,264.94
